Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:41:07,2018-11-22 09:41:09,1.870s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:41:09,2018-11-22 09:41:10,0.862s,PASSED
click,Firefox 63.0,,2018-11-22 09:41:10,2018-11-22 09:41:11,0.539s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:41:11,2018-11-22 09:41:11,0.739s,PASSED
,,,,,,
Test Cases/Sections/Data Label,Firefox 63.0,,2018-11-22 09:41:11,2018-11-22 09:41:22,10.772s,PASSED
com.powerbi.components.ChartSelect.EnableSetting,Firefox 63.0,,2018-11-22 09:41:12,2018-11-22 09:41:13,0.880s,PASSED
delay,Firefox 63.0,,2018-11-22 09:41:13,2018-11-22 09:41:15,2.003s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:41:15,2018-11-22 09:41:16,1.020s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:16,2018-11-22 09:41:16,0.420s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:41:16,2018-11-22 09:41:17,1.286s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:17,2018-11-22 09:41:18,0.337s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:18,2018-11-22 09:41:18,0.634s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:18,2018-11-22 09:41:19,0.381s,PASSED
com.powerbi.components.ChartSelect.enableToggle,Firefox 63.0,,2018-11-22 09:41:19,2018-11-22 09:41:20,1.307s,PASSED
click,Firefox 63.0,,2018-11-22 09:41:20,2018-11-22 09:41:21,1.079s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:41:21,2018-11-22 09:41:22,0.999s,PASSED
,,,,,,
Test Cases/Sections/Tooltip,Firefox 63.0,,2018-11-22 09:41:22,2018-11-22 09:41:33,10.481s,PASSED
com.powerbi.components.ChartSelect.EnableSetting,Firefox 63.0,,2018-11-22 09:41:23,2018-11-22 09:41:23,0.720s,PASSED
delay,Firefox 63.0,,2018-11-22 09:41:23,2018-11-22 09:41:25,2.002s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:41:25,2018-11-22 09:41:26,1.030s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:41:26,2018-11-22 09:41:27,0.982s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:27,2018-11-22 09:41:28,0.304s,PASSED
com.powerbi.components.ChartSelect.setColor,Firefox 63.0,,2018-11-22 09:41:28,2018-11-22 09:41:30,1.882s,PASSED
com.powerbi.components.ChartSelect.enableToggle,Firefox 63.0,,2018-11-22 09:41:30,2018-11-22 09:41:31,1.418s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:41:31,2018-11-22 09:41:32,0.698s,PASSED
click,Firefox 63.0,,2018-11-22 09:41:32,2018-11-22 09:41:32,0.699s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:41:32,2018-11-22 09:41:33,0.380s,PASSED
,,,,,,
Test Cases/Sections/Appearance,Firefox 63.0,,2018-11-22 09:41:33,2018-11-22 09:41:38,5.000s,PASSED
com.powerbi.components.ChartSelect.showSetting,Firefox 63.0,,2018-11-22 09:41:33,2018-11-22 09:41:34,0.782s,PASSED
delay,Firefox 63.0,,2018-11-22 09:41:34,2018-11-22 09:41:36,2.002s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:41:36,2018-11-22 09:41:37,1.092s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:37,2018-11-22 09:41:37,0.159s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:37,2018-11-22 09:41:37,0.159s,PASSED
