Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdvancedColumnBar,Chrome 70.0.3538.102,,2018-11-22 09:39:46,2018-11-22 09:42:31,2m - 44.746s,PASSED
,,,,,,
Test Cases/Login_Power PI,Chrome 70.0.3538.102,Login to Power PI with respective username and Password,2018-11-22 09:39:48,2018-11-22 09:40:16,28.490s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-22 09:39:49,2018-11-22 09:39:55,6.637s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-22 09:39:55,2018-11-22 09:39:57,1.473s,PASSED
deleteAllCookies,Chrome 70.0.3538.102,,2018-11-22 09:39:57,2018-11-22 09:39:57,0.035s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 09:39:57,2018-11-22 09:40:01,4.038s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-22 09:40:01,2018-11-22 09:40:01,0.185s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-22 09:40:01,2018-11-22 09:40:02,0.720s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:02,2018-11-22 09:40:06,3.909s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 09:40:06,2018-11-22 09:40:06,0.548s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:06,2018-11-22 09:40:06,0.219s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 09:40:06,2018-11-22 09:40:08,2.049s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-22 09:40:08,2018-11-22 09:40:09,0.370s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:09,2018-11-22 09:40:10,1.391s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:10,2018-11-22 09:40:16,6.151s,PASSED
,,,,,,
Test Cases/Edit Mode_Power PI,Chrome 70.0.3538.102,,2018-11-22 09:40:16,2018-11-22 09:40:28,11.911s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-22 09:40:17,2018-11-22 09:40:21,4.489s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:21,2018-11-22 09:40:22,0.341s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-22 09:40:22,2018-11-22 09:40:22,0.489s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 09:40:22,2018-11-22 09:40:24,2.003s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 09:40:24,2018-11-22 09:40:24,0.237s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:24,2018-11-22 09:40:25,0.710s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-22 09:40:25,2018-11-22 09:40:25,0.246s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:25,2018-11-22 09:40:26,0.418s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:26,2018-11-22 09:40:27,1.230s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:27,2018-11-22 09:40:28,1.214s,PASSED
,,,,,,
Test Cases/Sections/Title,Chrome 70.0.3538.102,,2018-11-22 09:40:28,2018-11-22 09:40:39,11.167s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:29,2018-11-22 09:40:29,0.658s,PASSED
com.powerbi.components.ChartSelect.setValue,Chrome 70.0.3538.102,,2018-11-22 09:40:29,2018-11-22 09:40:31,1.881s,PASSED
com.powerbi.components.ChartSelect.selectValue,Chrome 70.0.3538.102,,2018-11-22 09:40:31,2018-11-22 09:40:33,2.208s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-22 09:40:33,2018-11-22 09:40:34,0.674s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 09:40:34,2018-11-22 09:40:35,1.029s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 09:40:35,2018-11-22 09:40:37,2.002s,PASSED
com.powerbi.components.ChartSelect.setColor,Chrome 70.0.3538.102,,2018-11-22 09:40:37,2018-11-22 09:40:38,0.772s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 09:40:38,2018-11-22 09:40:39,0.814s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Chrome 70.0.3538.102,,2018-11-22 09:40:39,2018-11-22 09:40:39,0.771s,PASSED
,,,,,,
Test Cases/Sections/X Axis,Chrome 70.0.3538.102,,2018-11-22 09:40:39,2018-11-22 09:40:52,12.443s,PASSED
com.powerbi.components.ChartSelect.EnableSetting,Chrome 70.0.3538.102,,2018-11-22 09:40:40,2018-11-22 09:40:41,0.754s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 09:40:41,2018-11-22 09:40:43,2.002s,PASSED
com.powerbi.components.ChartSelect.selectValue,Chrome 70.0.3538.102,,2018-11-22 09:40:43,2018-11-22 09:40:43,0.403s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 09:40:43,2018-11-22 09:40:45,2.003s,PASSED
